Layers,Heads,Rank,depth1,depth2,depth3,depth4,depth5,max
2,2,4,100.0,99.0,66.0,20.0,8.0,24.4
2,2,8,99.0,100.0,72.0,26.0,9.0,25.4
2,2,16,100.0,100.0,72.0,15.0,7.000000000000001,23.200000000000003
2,2,32,100.0,99.0,73.0,14.000000000000002,9.0,23.599999999999998
2,4,4,100.0,99.0,79.0,24.0,16.0,37.0
2,4,8,100.0,97.0,73.0,30.0,20.0,34.2
2,4,16,100.0,99.0,82.0,25.0,14.000000000000002,31.4
2,4,32,99.0,99.0,76.0,24.0,16.0,31.2
2,8,4,97.0,96.0,91.0,20.0,22.0,40.2
2,8,8,94.0,95.0,90.0,27.0,27.0,42.6
2,8,16,95.0,95.0,93.0,28.000000000000004,30.0,35.8
2,8,32,98.0,95.0,93.0,39.0,27.0,41.6
2,16,4,94.0,94.0,92.0,25.0,15.0,29.4
2,16,8,97.0,98.0,91.0,23.0,18.0,36.4
2,16,16,96.0,94.0,88.0,20.0,16.0,32.6
2,16,32,92.0,99.0,92.0,19.0,14.000000000000002,35.0
4,2,4,100.0,100.0,97.0,27.0,15.0,25.6
4,2,8,100.0,100.0,98.0,28.999999999999996,19.0,26.200000000000003
4,2,16,100.0,100.0,99.0,26.0,15.0,26.8
4,2,32,100.0,100.0,98.0,24.0,17.0,24.4
4,4,4,91.0,95.0,90.0,20.0,9.0,20.8
4,4,8,85.0,96.0,86.0,22.0,5.0,35.4
4,4,16,71.0,98.0,89.0,19.0,6.0,24.8
4,4,32,82.0,99.0,89.0,16.0,5.0,19.0
4,8,4,100.0,100.0,99.0,28.999999999999996,16.0,23.799999999999997
4,8,8,100.0,100.0,99.0,15.0,12.0,21.6
4,8,16,100.0,100.0,100.0,28.999999999999996,8.0,20.4
4,8,32,100.0,100.0,100.0,21.0,7.000000000000001,22.2
4,16,4,100.0,100.0,100.0,19.0,10.0,34.4
4,16,8,91.0,100.0,99.0,25.0,14.000000000000002,34.4
4,16,16,99.0,100.0,99.0,30.0,5.0,32.2
4,16,32,97.0,99.0,100.0,21.0,11.0,29.2
6,2,4,100.0,100.0,86.0,26.0,20.0,31.0
6,2,8,100.0,100.0,89.0,33.0,34.0,34.0
6,2,16,100.0,100.0,91.0,27.0,36.0,31.6
6,2,32,100.0,100.0,97.0,33.0,27.0,32.2
6,4,4,100.0,100.0,97.0,36.0,5.0,24.4
6,4,8,100.0,100.0,99.0,21.0,6.0,31.6
6,4,16,100.0,100.0,98.0,30.0,8.0,22.8
6,4,32,100.0,100.0,99.0,26.0,10.0,23.400000000000002
6,8,4,100.0,100.0,100.0,31.0,2.0,12.8
6,8,8,99.0,100.0,99.0,22.0,1.0,13.4
6,8,16,100.0,99.0,100.0,31.0,5.0,9.2
6,8,32,100.0,100.0,98.0,31.0,3.0,11.200000000000001
6,16,4,99.0,99.0,97.0,34.0,15.0,58.199999999999996
6,16,8,100.0,98.0,100.0,21.0,15.0,56.39999999999999
6,16,16,100.0,100.0,97.0,28.000000000000004,14.000000000000002,55.00000000000001
6,16,32,100.0,98.0,100.0,30.0,15.0,57.99999999999999
8,2,4,100.0,100.0,86.0,24.0,5.0,11.200000000000001
8,2,8,100.0,98.0,83.0,16.0,1.0,7.000000000000001
8,2,16,100.0,95.0,88.0,25.0,3.0,6.800000000000001
8,2,32,100.0,98.0,79.0,15.0,2.0,8.4
8,4,4,100.0,100.0,96.0,36.0,15.0,24.6
8,4,8,100.0,100.0,98.0,42.0,11.0,24.0
8,4,16,100.0,100.0,99.0,34.0,7.000000000000001,23.599999999999998
8,4,32,100.0,100.0,97.0,42.0,11.0,22.8
8,8,4,100.0,100.0,97.0,21.0,10.0,21.0
8,8,8,100.0,100.0,100.0,21.0,8.0,30.0
8,8,16,100.0,100.0,99.0,28.999999999999996,11.0,31.2
8,8,32,99.0,100.0,98.0,27.0,7.000000000000001,27.0
8,16,4,100.0,100.0,100.0,13.0,2.0,23.400000000000002
8,16,8,100.0,100.0,100.0,17.0,2.0,27.200000000000003
8,16,16,99.0,100.0,100.0,13.0,2.0,28.000000000000004
8,16,32,100.0,100.0,100.0,12.0,0.0,24.2
