Layers,Heads,Rank,depth1,depth2,depth3,depth4,depth5,max
2,2,4,0.0,1.0,0.0,0.0,0.0,0.0
2,2,8,1.0,0.0,0.0,1.0,0.0,0.4
2,2,16,1.0,0.0,0.0,0.0,0.0,0.0
2,2,32,2.0,0.0,0.0,0.0,1.0,0.0
2,4,4,1.0,2.0,0.0,0.0,0.0,0.2
2,4,8,1.0,0.0,0.0,0.0,0.0,0.0
2,4,16,0.0,0.0,0.0,0.0,0.0,0.0
2,4,32,2.0,1.0,1.0,0.0,0.0,0.0
2,8,4,1.0,1.0,0.0,1.0,0.0,0.0
2,8,8,1.0,1.0,0.0,0.0,0.0,0.0
2,8,16,2.0,0.0,1.0,0.0,0.0,0.0
2,8,32,1.0,0.0,0.0,0.0,0.0,0.2
2,16,4,0.0,2.0,1.0,0.0,0.0,0.2
2,16,8,0.0,0.0,2.0,0.0,0.0,0.0
2,16,16,0.0,0.0,0.0,0.0,0.0,0.0
2,16,32,0.0,0.0,0.0,0.0,0.0,0.0
4,2,4,8.0,0.0,0.0,0.0,0.0,0.0
4,2,8,3.0,1.0,0.0,0.0,0.0,0.0
4,2,16,2.0,1.0,0.0,0.0,0.0,0.2
4,2,32,1.0,1.0,0.0,0.0,0.0,0.0
4,4,4,0.0,0.0,0.0,0.0,0.0,0.4
4,4,8,0.0,0.0,0.0,0.0,0.0,0.2
4,4,16,1.0,0.0,0.0,0.0,0.0,0.2
4,4,32,1.0,0.0,1.0,0.0,0.0,0.0
4,8,4,1.0,2.0,0.0,0.0,0.0,0.0
4,8,8,4.0,4.0,1.0,0.0,0.0,0.0
4,8,16,2.0,4.0,1.0,0.0,0.0,0.0
4,8,32,1.0,0.0,0.0,0.0,0.0,0.0
4,16,4,2.0,0.0,1.0,0.0,0.0,0.6
4,16,8,1.0,2.0,0.0,0.0,0.0,0.8
4,16,16,3.0,4.0,2.0,0.0,0.0,2.1999999999999997
4,16,32,4.0,4.0,1.0,0.0,0.0,0.4
6,2,4,4.0,1.0,2.0,0.0,0.0,0.2
6,2,8,3.0,3.0,0.0,0.0,0.0,0.2
6,2,16,5.0,1.0,1.0,0.0,0.0,0.0
6,2,32,1.0,1.0,1.0,0.0,0.0,0.4
6,4,4,6.0,4.0,2.0,0.0,0.0,0.2
6,4,8,3.0,1.0,0.0,0.0,0.0,1.2
6,4,16,7.000000000000001,1.0,1.0,0.0,0.0,0.4
6,4,32,3.0,2.0,0.0,0.0,0.0,0.8
6,8,4,1.0,3.0,2.0,0.0,0.0,0.2
6,8,8,2.0,5.0,0.0,0.0,0.0,0.0
6,8,16,1.0,1.0,1.0,0.0,0.0,0.0
6,8,32,1.0,1.0,1.0,0.0,0.0,0.0
6,16,4,2.0,4.0,3.0,0.0,0.0,7.3999999999999995
6,16,8,3.0,2.0,0.0,1.0,0.0,5.2
6,16,16,1.0,2.0,0.0,0.0,0.0,8.6
6,16,32,4.0,5.0,1.0,0.0,0.0,8.200000000000001
8,2,4,2.0,6.0,0.0,0.0,0.0,0.0
8,2,8,6.0,2.0,0.0,0.0,0.0,0.0
8,2,16,7.000000000000001,2.0,2.0,0.0,0.0,0.0
8,2,32,3.0,0.0,0.0,0.0,0.0,0.0
8,4,4,1.0,2.0,2.0,0.0,0.0,0.0
8,4,8,3.0,0.0,1.0,0.0,0.0,0.2
8,4,16,7.000000000000001,2.0,2.0,0.0,0.0,0.0
8,4,32,2.0,2.0,1.0,0.0,0.0,0.0
8,8,4,5.0,1.0,3.0,0.0,0.0,2.4
8,8,8,2.0,1.0,1.0,0.0,0.0,3.0
8,8,16,1.0,4.0,1.0,0.0,0.0,4.0
8,8,32,2.0,3.0,0.0,0.0,0.0,3.2
8,16,4,3.0,1.0,0.0,0.0,0.0,2.8000000000000003
8,16,8,2.0,3.0,1.0,0.0,0.0,5.0
8,16,16,0.0,2.0,2.0,0.0,0.0,6.800000000000001
8,16,32,7.000000000000001,4.0,1.0,0.0,0.0,5.2
