Layers,Heads,Rank,Test_Type,Accuracy,Parse_Rate,Avg_Gen_Len
8,2,8,depth1,6.0,100.0,19.28
2,4,4,max,0.2,37.0,208.424
8,2,4,depth3,0.0,86.0,237.27
6,2,4,max,0.2,31.0,199.918
6,4,32,depth3,0.0,99.0,186.84
6,2,16,depth2,1.0,100.0,57.95
2,4,8,max,0.0,34.2,211.004
2,4,32,depth2,1.0,99.0,74.03
6,16,16,max,8.6,55.00000000000001,214.076
6,16,32,depth1,4.0,100.0,21.75
4,4,8,depth2,0.0,96.0,90.84
2,2,4,depth5,0.0,8.0,468.13
8,8,8,depth2,1.0,100.0,59.3
8,2,16,depth5,0.0,3.0,477.7
2,2,4,depth1,0.0,100.0,19.06
4,8,32,depth4,0.0,21.0,445.2
6,2,16,depth4,0.0,27.0,417.42
8,2,8,depth4,0.0,16.0,471.0
6,2,16,max,0.0,31.6,176.066
4,4,4,depth5,0.0,9.0,449.22
4,2,16,depth4,0.0,26.0,434.98
4,2,8,max,0.0,26.200000000000003,202.986
4,4,4,depth3,0.0,90.0,242.34
2,2,4,depth3,0.0,66.0,341.7
8,2,32,depth1,3.0,100.0,18.34
8,4,32,depth5,0.0,11.0,459.96
8,8,16,depth5,0.0,11.0,467.47
8,8,4,depth1,5.0,100.0,22.12
2,8,8,max,0.0,42.6,181.488
6,2,4,depth2,1.0,100.0,62.35
2,4,4,depth3,0.0,79.0,284.57
8,16,4,depth5,0.0,2.0,461.57
6,16,8,max,5.2,56.39999999999999,227.552
2,16,8,depth3,2.0,91.0,204.74
8,4,16,depth1,7.000000000000001,100.0,19.54
8,2,16,depth2,2.0,95.0,100.66
4,2,4,depth5,0.0,15.0,436.22
2,2,8,depth3,0.0,72.0,337.92
6,8,32,depth1,1.0,100.0,21.64
4,4,16,depth1,1.0,71.0,27.79
8,4,8,depth3,1.0,98.0,185.95
8,4,16,max,0.0,23.599999999999998,241.964
8,4,16,depth2,2.0,100.0,62.88
