Config,Depth,Input,Target,Pred,Correct,Reasoning
L8H2R8,depth1,92 + 82,174,,,...
L8H2R8,depth1,17 - 24,-7,,,...
L8H2R8,depth1,73 + 66,139,,,...
L8H2R8,depth1,50 + 96,146,,,...
L8H2R8,depth1,38 + 97,135,,,...
L8H2R8,depth1,80 + 46,126,,,...
L8H2R8,depth1,86 + 3,89,,,...
L8H2R8,depth1,63 - 22,41,,,...
L8H2R8,depth1,99 + 98,197,,,...
L8H2R8,depth1,18 - 97,-79,,,...
L2H4R4,max,(((57 + (84 - 25)) - ((60 - 61) + (49 + 26))) - (((22 + 62) + 2) - 48)) + ((((63 - 33) + 74) - ((42 + 72) + (17 + 58))) + (((16 + 39) - 23) - (93 - (81 - 78)))),-139,,,...
L2H4R4,max,46,46,,,...
L2H4R4,max,83,83,,,...
L2H4R4,max,((((83 - 62) - 4) + (54 - (8 - 88))) + 54) + (((44 + (70 - 90)) - 68) + 28),189,,,...
L2H4R4,max,59 + ((((7 + 21) - (58 - 12)) + (39 + (12 - 59))) - ((45 + (54 - 81)) + ((73 - 31) + (29 - 20)))),-36,,,...
L2H4R4,max,(((89 + (55 + 2)) - ((29 - 47) + (7 - 39))) - (((12 - 40) - (71 - 77)) - ((79 - 20) + (21 + 51)))) - 66,283,,,...
L2H4R4,max,((14 - ((87 + 56) - 12)) + (12 - ((41 + 24) - 41))) + 96,-33,,,...
L2H4R4,max,82 + ((70 + 12) - (((76 - 19) + 80) + ((80 - 13) + (81 + 89)))),-210,,,...
L2H4R4,max,((((63 - 97) - (37 + 29)) - 92) + ((13 + (37 - 99)) + 7)) - ((((93 + 65) + (54 - 88)) + (59 + (20 - 61))) - 72),-304,,,...
L2H4R4,max,75 + ((((3 + 64) + (55 + 46)) - ((17 + 98) - (55 - 82))) + (((62 + 62) - (38 - 12)) - ((59 + 27) - 77))),190,,,...
L8H2R4,depth3,((86 - 31) - (85 - 42)) - 88,-76,,,...
L8H2R4,depth3,((44 + 27) - (78 - 18)) - 93,-82,,,...
L8H2R4,depth3,((85 + 71) + (98 + 23)) - ((61 + 92) + (14 + 61)),49,,,...
L8H2R4,depth3,((8 + 83) + (58 + 60)) - ((28 + 27) - 74),228,,,...
L8H2R4,depth3,((23 - 64) + (93 - 82)) + ((0 + 49) + (1 - 69)),-49,,,...
L8H2R4,depth3,((76 + 89) - (17 - 32)) - ((29 - 85) - (92 + 57)),385,,,...
L8H2R4,depth3,((9 + 26) + (60 + 11)) - ((20 - 34) - (23 - 51)),92,,,...
L8H2R4,depth3,((43 - 23) + (72 + 24)) - 14,102,,,...
L8H2R4,depth3,((4 + 19) - 61) + ((77 - 17) - (96 + 6)),-80,,,...
L8H2R4,depth3,((46 + 0) + (4 + 63)) - ((54 + 76) + (25 - 50)),8,,,...
L6H2R4,max,86 + (((25 + (71 - 47)) + (29 - (24 - 44))) - ((42 + (68 + 0)) + 32)),42,,,...
L6H2R4,max,(25 + (85 - ((23 - 9) - (42 + 4)))) + ((((15 - 31) - (4 + 38)) - 84) + (((46 - 5) - 89) - ((61 - 80) + (44 + 71)))),-144,,,...
L6H2R4,max,((((8 - 76) - 41) - ((78 + 31) + (42 - 30))) + (((61 + 18) - 8) + ((53 + 12) - (84 + 82)))) - 55,-315,,,...
L6H2R4,max,82,82,,,...
L6H2R4,max,60,60,,,...
L6H2R4,max,51 - 53,-2,,,...
L6H2R4,max,82,82,,,...
L6H2R4,max,(94 - (46 + (96 + (27 - 94)))) + (37 + (8 - 68)),-4,,,...
L6H2R4,max,6 + 11,17,,,...
L6H2R4,max,((71 + (86 - 44)) - (((91 + 15) - (22 + 5)) + ((53 + 26) + (7 - 46)))) - 9,-15,,,...
L6H4R32,depth3,((18 + 66) - (85 + 2)) + 4,1,,,...
L6H4R32,depth3,78 + ((15 + 91) - (90 + 11)),83,,,...
L6H4R32,depth3,((73 + 14) + (76 + 27)) + ((25 + 43) + (76 - 8)),326,,,...
L6H4R32,depth3,((27 - 44) + (75 + 45)) - ((47 + 27) + (8 - 74)),95,,,...
L6H4R32,depth3,((92 + 0) + (94 + 38)) - ((37 - 3) + (88 - 39)),141,,,...
L6H4R32,depth3,((29 + 31) + (15 + 19)) + 63,157,,,...
L6H4R32,depth3,((82 + 73) + (31 - 29)) - ((68 + 46) - (64 - 95)),12,,,...
L6H4R32,depth3,((8 - 44) + (89 + 8)) - ((12 - 37) + (97 + 78)),-89,,,...
L6H4R32,depth3,((96 - 72) + (76 - 91)) + ((45 + 59) + (1 + 63)),177,,,...
L6H4R32,depth3,((26 + 55) + (35 + 0)) + ((13 - 61) - (79 - 22)),11,,,...
L6H2R16,depth2,(57 + 20) + (29 - 83),23,,,...
L6H2R16,depth2,54 + (68 + 75),197,,,...
L6H2R16,depth2,(3 - 83) - (65 + 58),-203,,,...
L6H2R16,depth2,2 + (59 - 16),45,,,...
L6H2R16,depth2,(59 - 98) - (44 - 39),-44,,,...
L6H2R16,depth2,(52 + 26) - (87 - 58),49,,,...
L6H2R16,depth2,(32 + 4) + 59,95,,,...
L6H2R16,depth2,(78 - 96) - (53 + 92),-163,,,...
L6H2R16,depth2,(17 - 30) + (59 + 34),80,,,...
L6H2R16,depth2,(4 + 8) + (19 - 64),-33,,,...
L2H4R8,max,((24 - ((89 + 11) - (39 - 56))) - 64) - ((39 + (85 + 84)) + (((23 + 62) + 63) - ((59 - 30) + (82 - 83)))),-485,,,...
L2H4R8,max,61 - 29,32,,,...
L2H4R8,max,11,11,,,...
